siteName;pageName;date;currency;generatedAt;revenueDisplay;revenuePerformance;revenueSubscriptions;revenueLicencing;revenueAIUsage;revenue;visits;impressions;clicksOCNetwork;clicksAd;ecpm;cpc;pageCtr;premiumQuality;standardQuality;lowQuality;Licenced;usageAI;earningsCNFTlicence;newSubscriptions;topics;promotionsCount;OCNetworkImpressions;OCNetworkClicks;OCNetworkRevenueDisplay;OCNetworkRevenuePerformance;OCNetworkRevenueSubscriptions;OCNetworkRevenueLicencing;OCNetworkRevenueAIUsage;;;VisitsUntergrenze;Visits Obergrenze;CPM;CPC;LicenceFee;AIUsageFee
herold.biz;How to get started;21.01.25;CUSD;01.01.25;0,1296;12,6;8;0;0,02;20,7496;144;144;101;7;2,9879424;1,8;5%;0,625%;38,651%;61%;0;1;0;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1455;23769;47538;47,538;30899,7;29718,94792;2440,38008;1220,19004;;;24,4038008;148,5947396;0,9;1,8;10;0,02
herold.biz;How to get started;22.01.25;CUSD;01.01.25;0,0742;28,6;4;0;0,02;32,6942;106;106;21;11;3,4655852;2,6;10%;0,227%;12,296%;87%;0;1;0;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1583;24199;96796;290,388;14519,4;30313,32688;2464,783881;1232,39194;;;24,64783881;151,5666344;0,7;2,6;10;0,02
herold.biz;How to get started;23.01.25;CUSD;01.01.25;0,1456;5,4;12;0;0,02;17,5656;104;208;42;3;3,6536448;1,8;1%;0,829%;68,429%;31%;0;1;0;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1545;22850;91400;91,4;22850;30919,59342;2489,43172;1244,71586;;;24,8943172;154,5979671;0,7;1,8;10;0,02
herold.biz;How to get started;24.01.25;CUSD;01.01.25;0,36;20,8;16;10;0,02;47,18;80;240;168;8;11,3232;2,6;3%;0,763%;55,150%;44%;1;1;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1118;26241;26241;78,723;7872,3;31537,98528;2514,326037;1257,163018;;;25,14326037;157,6899264;1,5;2,6;10;0,02
herold.biz;How to get started;25.01.25;CUSD;01.01.25;0,0648;14,4;8;10;0;32,4648;81;81;49;9;2,6296488;1,6;11%;0,200%;55,445%;44%;1;0;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1652;25936;25936;77,808;20748,8;32168,74499;2539,469297;1269,734649;;;25,39469297;160,8437249;0,8;1,6;10;0,02
herold.biz;How to get started;26.01.25;CUSD;01.01.25;0,3312;56;4;10;0;70,3312;138;276;221;20;19,4114112;2,8;7%;0,471%;19,906%;80%;1;0;10;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";400;21485;21485;42,97;23633,5;32812,11989;2564,86399;1282,431995;;;25,6486399;164,0605994;1,2;2,8;10;0,02
herold.biz;How to get started;27.01.25;CUSD;01.01.25;0,2475;20,4;12;10;0;42,6475;75;225;203;12;9,5956875;1,7;5%;0,580%;51,586%;48%;1;0;10;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1944;23546;94184;282,552;7063,8;33468,36229;2590,51263;1295,256315;;;25,9051263;167,3418114;1,1;1,7;10;0,02
herold.biz;How to get started;28.01.25;CUSD;01.01.25;0,0855;8,8;8;10;0,02;26,9055;57;171;137;11;4,6008405;0,8;6%;0,318%;66,975%;33%;1;1;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1351;28403;56806;170,418;25562,7;34137,72953;2616,417756;1308,208878;;;26,16417756;170,6886477;0,5;0,8;10;0,02
herold.biz;How to get started;29.01.25;CUSD;01.01.25;0,06;16,2;4;10;0,02;30,28;30;60;36;6;1,8168;2,7;10%;0,198%;46,301%;54%;1;1;10;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";542;27494;109976;329,928;30243,4;34820,48412;2642,581934;1321,290967;;;26,42581934;174,1024206;1;2,7;10;0,02
herold.biz;How to get started;30.01.25;CUSD;01.01.25;0,0975;7,2;4;10;0,02;21,3175;65;65;7;6;1,3856375;1,2;9%;0,457%;65,768%;34%;1;1;10;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1653;28626;28626;57,252;17175,6;35516,89381;2669,007753;1334,503877;;;26,69007753;177,584469;1,5;1,2;10;0,02
herold.biz;How to get started;31.01.25;CUSD;01.01.25;0,552;88,2;8;10;0,02;106,772;115;460;460;42;49,11512;2,1;9%;0,517%;16,877%;83%;1;1;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";889;24239;72717;72,717;16967,3;36227,23168;2695,697831;1347,848915;;;26,95697831;181,1361584;1,2;2,1;10;0,02
herold.biz;How to get started;01.02.25;CUSD;01.01.25;0,1656;33,8;16;10;0,02;59,9856;138;276;193;26;16,5560256;1,3;9%;0,276%;43,377%;56%;1;1;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";566;25441;101764;305,292;12720,5;36951,77632;2722,654809;1361,327404;;;27,22654809;184,7588816;0,6;1,3;10;0,02
herold.biz;How to get started;02.02.25;CUSD;01.01.25;0,4224;59,4;4;10;0,02;73,8424;88;352;176;22;25,9925248;2,7;6%;0,572%;18,986%;80%;1;1;10;1;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";888;25089;100356;200,712;10035,6;37690,81184;2749,881357;1374,940679;;;27,49881357;188,4540592;1,2;2,7;10;0,02
herold.biz;How to get started;03.02.25;CUSD;01.01.25;0,481;4;16;10;0,02;30,501;185;370;148;5;11,28537;0,8;1%;1,577%;85,309%;13%;1;1;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1092;26944;107776;107,776;13472;38444,62808;2777,380171;1388,690085;;;27,77380171;192,2231404;1,3;0,8;10;0,02
herold.biz;How to get started;04.02.25;CUSD;01.01.25;0,1152;48,6;16;10;0,02;74,7352;64;192;96;18;14,3491584;2,7;9%;0,154%;34,816%;65%;1;1;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";832;23129;23129;69,387;30067,7;39213,52064;2805,153972;1402,576986;;;28,05153972;196,0676032;0,6;2,7;10;0,02
herold.biz;How to get started;05.02.25;CUSD;01.01.25;0,4788;35,1;12;10;0;57,5788;133;399;319;13;22,9739412;2,7;3%;0,832%;38,209%;61%;1;0;10;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1987;26237;78711;78,711;15742,2;39997,79105;2833,205512;1416,602756;;;28,33205512;199,9889553;1,2;2,7;10;0,02
herold.biz;How to get started;06.02.25;CUSD;01.01.25;0,336;36;16;10;0,02;62,356;120;480;384;15;29,93088;2,4;3%;0,539%;41,728%;58%;1;1;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1834;28845;57690;173,07;8653,5;40797,74687;2861,537567;1430,768784;;;28,61537567;203,9887344;0,7;2,4;10;0,02
herold.biz;How to get started;07.02.25;CUSD;01.01.25;0,2976;18,4;8;10;0,02;36,7176;124;248;198;8;9,1059648;2,3;3%;0,811%;49,077%;50%;1;1;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1943;27992;55984;55,984;36389,6;41613,70181;2890,152943;1445,076471;;;28,90152943;208,0685091;1,2;2,3;10;0,02
herold.biz;How to get started;08.02.25;CUSD;01.01.25;0,1568;21;8;10;0,02;39,1768;56;112;67;7;4,3878016;3;6%;0,400%;45,997%;54%;1;1;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";288;20067;60201;180,603;12040,2;42445,97585;2919,054472;1459,527236;;;29,19054472;212,2298792;1,4;3;10;0,02
herold.biz;How to get started;09.02.25;CUSD;01.01.25;1,0248;119,6;16;10;0;146,6248;183;732;220;52;107,3293536;2,3;7%;0,699%;17,732%;82%;1;0;10;4;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";385;21279;42558;42,558;25534,8;43294,89536;2948,245017;1474,122509;;;29,48245017;216,4744768;1,4;2,3;10;0,02
herold.biz;How to get started;10.02.25;CUSD;01.01.25;0,486;92,4;8;10;0;110,886;135;405;243;42;44,90883;2,2;10%;0,438%;16,233%;83%;1;0;10;2;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";1178;27541;110164;220,328;38557,4;44160,79327;2977,727467;1488,863734;;;29,77727467;220,8039664;1,2;2,2;10;0,02
herold.biz;How to get started;11.02.25;CUSD;01.01.25;0,1568;10,5;12;10;0,02;32,6768;56;112;45;5;3,6598016;2,1;4%;0,480%;67,387%;32%;1;1;10;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";330;22792;68376;205,128;15954,4;45044,00914;3007,504742;1503,752371;;;30,07504742;225,2200457;1,4;2,1;10;0,02
herold.biz;How to get started;12.02.25;CUSD;01.01.25;0,1764;19,8;20;10;0,02;49,9964;98;196;118;9;9,7992944;2,2;5%;0,353%;60,044%;40%;1;1;10;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";704;25944;25944;25,944;31132,8;45944,88932;3037,579789;1518,789895;;;30,37579789;229,7244466;0,9;2,2;10;0,02
herold.biz;How to get started;13.02.25;CUSD;01.01.25;0,086;20;20;10;0;50,086;215;215;194;10;10,76849;2;5%;0,172%;59,897%;40%;1;0;10;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";694;22498;44996;44,996;20248,2;46863,78711;3067,955587;1533,977794;;;30,67955587;234,3189355;0,4;2;10;0,02
herold.biz;How to get started;14.02.25;CUSD;01.01.25;0,1224;25,2;12;10;0,02;47,3424;102;204;82;21;9,6578496;1,2;10%;0,259%;46,512%;53%;1;1;10;3;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";262;27582;55164;165,492;19307,4;47801,06285;3098,635143;1549,317572;;;30,98635143;239,0053142;0,6;1,2;10;0,02
