Name;Volume each;flow_1;Tier 1 Name;self_1;flow_2;Tier 2 Name;self_2;flow_3;Tier 3 Name;self_3;flow_4;Tier 4 Name;self_4;flow_5;Tier 5 Name;self_5;flow_6;Tier 6 Name;self_6
Business and Finance;0;;OCOSO;;;Business Finance and Careers;;31307;Business and Finance;10436;20871;;;;;;;;
Business;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;5969;Business;1990;3979;;;;;
Business Accounting & Finance;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;156;Business Accounting & Finance;156;;;
Business Administration;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;162;Business Administration;162;;;
Business Banking & Finance;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;1005;Business Banking & Finance;335;670;;
Angel Investment;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;43;Angel Investment;43
Bankruptcy;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;39;Bankruptcy;39
Business Loans;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;322;Business Loans;322
Debt Factoring & Invoice Discounting;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;108;Debt Factoring & Invoice Discounting;108
Mergers and Acquisitions;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;27;Mergers and Acquisitions;27
Private Equity;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;4;Private Equity;4
Sale & Lease Back;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;61;Sale & Lease Back;61
Venture Capital;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Business Banking & Finance;;66;Venture Capital;66
Business I.T.;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;177;Business I.T.;177;;;
Business Operations;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;96;Business Operations;96;;;
Business Utilities;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;291;Business Utilities;291;;;
Consumer Issues;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;14;Consumer Issues;5;9;;
Recalls;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;;Consumer Issues;;9;Recalls;9
Executive Leadership & Management;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;28;Executive Leadership & Management;28;;;
Government Business;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;559;Government Business;559;;;
Green Solutions;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;65;Green Solutions;65;;;
Human Resources;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;321;Human Resources;321;;;
Large Business;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;2;Large Business;2;;;
Logistics;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;368;Logistics;368;;;
Marketing and Advertising;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;141;Marketing and Advertising;141;;;
Sales;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;69;Sales;69;;;
Small and Medium-sized Business;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;261;Small and Medium-sized Business;261;;;
Startups;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Business;;264;Startups;264;;;
Economy;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;2630;Economy;877;1753;;;;;
Commodities;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;163;Commodities;163;;;
Currencies;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;570;Currencies;570;;;
Financial Crisis;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;117;Financial Crisis;117;;;
Financial Reform;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;2;Financial Reform;2;;;
Financial Regulation;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;183;Financial Regulation;183;;;
Gasoline Prices;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;216;Gasoline Prices;216;;;
Housing Market;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;93;Housing Market;93;;;
Interest Rates;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;283;Interest Rates;283;;;
Job Market;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Economy;;126;Job Market;126;;;
Industries;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;12272;Industries;4091;8181;;;;;
Advertising Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;77;Advertising Industry;77;;;
Agriculture;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;264;Agriculture;264;;;
Apparel Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;98;Apparel Industry;98;;;
Automotive Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;65;Automotive Industry;65;;;
Aviation Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;68;Aviation Industry;68;;;
Biotech and Biomedical Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;836;Biotech and Biomedical Industry;836;;;
Civil Engineering Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;32;Civil Engineering Industry;32;;;
Construction Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;213;Construction Industry;213;;;
Defense Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;592;Defense Industry;592;;;
Education industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;162;Education industry;162;;;
Entertainment Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;205;Entertainment Industry;205;;;
Environmental Services Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;222;Environmental Services Industry;222;;;
Financial Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;664;Financial Industry;664;;;
Food Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;607;Food Industry;607;;;
Healthcare Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;127;Healthcare Industry;127;;;
Hospitality Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;5;Hospitality Industry;5;;;
Information Services Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;172;Information Services Industry;172;;;
Legal Services Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;454;Legal Services Industry;454;;;
Logistics and Transportation Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;405;Logistics and Transportation Industry;405;;;
Management Consulting Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;512;Management Consulting Industry;512;;;
Manufacturing Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;58;Manufacturing Industry;58;;;
Mechanical and Industrial Engineering Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;2;Mechanical and Industrial Engineering Industry;2;;;
Media Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;9;Media Industry;9;;;
Metals Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;51;Metals Industry;51;;;
Non-Profit Organizations;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;579;Non-Profit Organizations;579;;;
Pharmaceutical Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;298;Pharmaceutical Industry;298;;;
Power and Energy Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;435;Power and Energy Industry;435;;;
Publishing Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;234;Publishing Industry;234;;;
Real Estate Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;117;Real Estate Industry;117;;;
Retail Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;219;Retail Industry;219;;;
Technology Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;313;Technology Industry;313;;;
Telecommunications Industry;0;;OCOSO;;;Business Finance and Careers;;;Business and Finance;;;Industries;;86;Telecommunications Industry;86;;;
Careers;0;;OCOSO;;;Business Finance and Careers;;6633;Careers;2211;4422;;;;;;;;
Apprenticeships;0;;OCOSO;;;Business Finance and Careers;;;Careers;;573;Apprenticeships;573;;;;;;
Career Advice;0;;OCOSO;;;Business Finance and Careers;;;Careers;;553;Career Advice;553;;;;;;
Career Planning;0;;OCOSO;;;Business Finance and Careers;;;Careers;;800;Career Planning;800;;;;;;
Job Search;0;;OCOSO;;;Business Finance and Careers;;;Careers;;848;Job Search;283;565;;;;;
Job Fairs;0;;OCOSO;;;Business Finance and Careers;;;Careers;;;Job Search;;13;Job Fairs;13;;;
Resume Writing and Advice;0;;OCOSO;;;Business Finance and Careers;;;Careers;;;Job Search;;552;Resume Writing and Advice;552;;;
Remote Working;0;;OCOSO;;;Business Finance and Careers;;;Careers;;740;Remote Working;740;;;;;;
Vocational Training;0;;OCOSO;;;Business Finance and Careers;;;Careers;;908;Vocational Training;908;;;;;;
Personal Finance;0;;OCOSO;;;Business Finance and Careers;;11882;Personal Finance;3961;7921;;;;;;;;
Consumer Banking;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;199;Consumer Banking;199;;;;;;
Financial Assistance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;683;Financial Assistance;228;455;;;;;
Government Support and Welfare;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Financial Assistance;;33;Government Support and Welfare;33;;;
Student Financial Aid;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Financial Assistance;;422;Student Financial Aid;422;;;
Financial Planning;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;466;Financial Planning;466;;;;;;
Frugal Living;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;795;Frugal Living;795;;;;;;
Home Utilities;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;861;Home Utilities;287;574;;;;;
Gas and Electric;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Home Utilities;;221;Gas and Electric;221;;;
Internet Service Providers;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Home Utilities;;33;Internet Service Providers;33;;;
Phone Services;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Home Utilities;;238;Phone Services;238;;;
Water Services;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Home Utilities;;82;Water Services;82;;;
Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;1139;Insurance;380;759;;;;;
Health Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;59;Health Insurance;59;;;
Home Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;114;Home Insurance;114;;;
Life Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;359;Life Insurance;359;;;
Motor Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;192;Motor Insurance;192;;;
Pet Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;16;Pet Insurance;16;;;
Travel Insurance;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Insurance;;19;Travel Insurance;19;;;
Personal Debt;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;1083;Personal Debt;361;722;;;;;
Credit Cards;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Debt;;0;Credit Cards;0;;;
Home Financing;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Debt;;163;Home Financing;163;;;
Personal Loans;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Debt;;78;Personal Loans;78;;;
Student Loans;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Debt;;481;Student Loans;481;;;
Personal Investing;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;1022;Personal Investing;341;681;;;;;
Hedge Funds;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Investing;;266;Hedge Funds;266;;;
Mutual Funds;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Investing;;29;Mutual Funds;29;;;
Options;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Investing;;295;Options;295;;;
Stocks and Bonds;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;;Personal Investing;;91;Stocks and Bonds;91;;;
Personal Taxes;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;943;Personal Taxes;943;;;;;;
Retirement Planning;0;;OCOSO;;;Business Finance and Careers;;;Personal Finance;;730;Retirement Planning;730;;;;;;
Productivity;0;;OCOSO;;;Business Finance and Careers;;27738;Productivity;27738;;;;;;;;;
Real Estate;0;;OCOSO;;;Business Finance and Careers;;7965;Real Estate;2655;5310;;;;;;;;
Apartments;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;919;Apartments;919;;;;;;
Developmental Sites;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;703;Developmental Sites;703;;;;;;
Hotel Properties;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;392;Hotel Properties;392;;;;;;
Houses;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;291;Houses;291;;;;;;
Industrial Property;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;922;Industrial Property;922;;;;;;
Land and Farms;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;403;Land and Farms;403;;;;;;
Office Property;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;385;Office Property;385;;;;;;
Real Estate Buying and Selling;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;206;Real Estate Buying and Selling;206;;;;;;
Real Estate Renting and Leasing;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;159;Real Estate Renting and Leasing;159;;;;;;
Retail Property;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;856;Retail Property;856;;;;;;
Vacation Properties;0;;OCOSO;;;Business Finance and Careers;;;Real Estate;;74;Vacation Properties;74;;;;;;
Lifestyle, Entertainment and Arts;0;;OCOSO;;190074;Lifestyle, Entertainment and Arts;63358;126716;;;;;;;;;;;
Books and Literature;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;3800;Books and Literature;1267;2533;;;;;;;;
Art and Photography;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Books and Literature;;872;Art and Photography;872;;;;;;
Comics and Graphic Novels;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Books and Literature;;623;Comics and Graphic Novels;623;;;;;;
Fiction;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Books and Literature;;757;Fiction;757;;;;;;
Poetry;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Books and Literature;;281;Poetry;281;;;;;;
Entertainment;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;1184;Entertainment;395;789;;;;;;;;
Movies;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Entertainment;;279;Movies;279;;;;;;
Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Entertainment;;352;Music;352;;;;;;
Television;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Entertainment;;158;Television;158;;;;;;
Events;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;2480;Events;827;1653;;;;;;;;
Awards Shows;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Events;;126;Awards Shows;126;;;;;;
Business Expos & Conferences;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Events;;535;Business Expos & Conferences;535;;;;;;
Fan Conventions;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Events;;992;Fan Conventions;992;;;;;;
Fine Art;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;5640;Fine Art;1880;3760;;;;;;;;
Costume;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;566;Costume;566;;;;;;
Dance;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;772;Dance;772;;;;;;
Design;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;604;Design;604;;;;;;
Digital Arts;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;444;Digital Arts;444;;;;;;
Fine Art Photography;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;186;Fine Art Photography;186;;;;;;
Modern Art;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;117;Modern Art;117;;;;;;
Opera;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;364;Opera;364;;;;;;
Theater;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Fine Art;;707;Theater;707;;;;;;
Genres;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;19647;Genres;6549;13098;;;;;;;;
;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;481;Nature;481;;;;;;
Action/Adventure;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;661;Action/Adventure;661;;;;;;
Animation & Anime;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;921;Animation & Anime;921;;;;;;
Biographies;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;785;Biographies;785;;;;;;
Comedy;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;279;Comedy;279;;;;;;
Documentary;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;166;Documentary;166;;;;;;
Drama;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;363;Drama;363;;;;;;
Factual;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;143;Factual;143;;;;;;
Family/Children;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;101;Family/Children;101;;;;;;
Fantasy;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;491;Fantasy;491;;;;;;
History;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;15;History;15;;;;;;
Holiday;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;277;Holiday;277;;;;;;
Horror;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;240;Horror;240;;;;;;
Lifestyle;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;842;Lifestyle;842;;;;;;
Music Video;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;989;Music Video;989;;;;;;
Musicals;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;193;Musical;193;;;;;;
Mystery;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;757;Mystery;757;;;;;;
Reality TV;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;709;Reality TV;709;;;;;;
Romance;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;125;Romance;125;;;;;;
Science Fiction;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;274;Science Fiction;274;;;;;;
Soap Opera;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;77;Soap Opera;77;;;;;;
Special Interest (Indie/Art House);0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;473;Special Interest (Indie/Art House);473;;;;;;
Sports Radio;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;964;Sports Radio;964;;;;;;
Talk Radio;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;126;Talk Radio;42;84;;;;;
Public Radio;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;;Talk Radio;;84;Public Radio;84;;;
Talk Show;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;275;Talk Show;275;;;;;;
True Crime;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;918;True Crime;918;;;;;;
Western;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;510;Western;510;;;;;;
Young Adult;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Genres;;943;Young Adult;943;;;;;;
Hobbies & Interests;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;17873;Hobbies & Interests;5958;11915;;;;;;;;
Antiquing and Antiques;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;809;Antiquing and Antiques;809;;;;;;
Arts and Crafts;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;3726;Arts and Crafts;1242;2484;;;;;
Beadwork;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;7;Beadwork;7;;;
Candle and Soap Making;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;316;Candle and Soap Making;316;;;
Drawing and Sketching;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;659;Drawing and Sketching;659;;;
Jewelry Making;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;471;Jewelry Making;471;;;
Needlework;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;292;Needlework;292;;;
Painting;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;381;Painting;381;;;
Photography;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;80;Photography;80;;;
Scrapbooking;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;238;Scrapbooking;238;;;
Woodworking;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Arts and Crafts;;40;Woodworking;40;;;
Beekeeping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;544;Beekeeping;544;;;;;;
Birdwatching;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;109;Birdwatching;109;;;;;;
Cigars;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;834;Cigars;834;;;;;;
