Date,Category,Monetization,Asset_Count,Avg_Value,Total_Value
2025-01-13,Media & Entertainment,Staking,5,62.49,312.45
2025-01-13,Media & Entertainment,Licensing,5,63.99,319.95
2025-01-13,Media & Entertainment,Subscriptions,5,75.83,379.15
2025-01-13,Knowledge & Utilities,Advertising,5,36.31,181.55
2025-01-13,Knowledge & Utilities,Staking,5,99.6,498.0
2025-01-13,Knowledge & Utilities,Licensing,5,38.79,193.95
2025-01-13,Knowledge & Utilities,Subscriptions,5,52.53,262.65
2025-01-13,Gaming,Advertising,5,39.36,196.8
2025-01-13,Gaming,Staking,5,86.97,434.85
2025-01-13,Gaming,Licensing,5,98.84,494.2
2025-01-13,Gaming,Subscriptions,5,62.64,313.2
2025-01-13,Education,Advertising,5,69.99,349.95
2025-01-13,Education,Staking,5,47.16,235.8
2025-01-13,Education,Licensing,5,92.57,462.85
2025-01-13,Education,Subscriptions,5,61.86,309.3
2025-01-13,Health & Wellness,Advertising,5,33.34,166.7
2025-01-13,Health & Wellness,Staking,5,89.53,447.65
2025-01-13,Health & Wellness,Licensing,5,22.44,112.2
2025-01-13,Health & Wellness,Subscriptions,5,48.91,244.55
2025-01-13,Finance & Business,Advertising,5,97.86,489.3
2025-01-13,Finance & Business,Staking,5,74.19,370.95
2025-01-13,Finance & Business,Licensing,5,49.86,249.3
2025-01-13,Finance & Business,Subscriptions,5,69.88,349.4
2025-01-13,Lifestyle,Advertising,5,28.53,142.65
2025-01-13,Lifestyle,Staking,5,39.89,199.45
2025-01-13,Lifestyle,Licensing,5,64.79,323.95
2025-01-13,Lifestyle,Subscriptions,5,88.15,440.75
2025-01-13,Technology,Advertising,5,95.57,477.85
2025-01-13,Technology,Staking,5,22.54,112.7
2025-01-13,Technology,Licensing,5,25.47,127.35
2025-01-13,Technology,Subscriptions,5,59.19,295.95
2025-01-13,Politics & News,Advertising,5,45.87,229.35
2025-01-13,Politics & News,Staking,5,57.02,285.1
2025-01-13,Politics & News,Licensing,5,50.44,252.2
2025-01-13,Politics & News,Subscriptions,5,61.68,308.4
2025-01-14,Publishing,Advertising,5,53.31,266.55
2025-01-14,Publishing,Staking,5,21.97,109.85
2025-01-14,Publishing,Licensing,5,66.71,333.55
2025-01-14,Publishing,Subscriptions,5,32.95,164.75
2025-01-14,Media & Entertainment,Advertising,5,93.7,468.5
2025-01-14,Media & Entertainment,Staking,5,73.51,367.55
2025-01-14,Media & Entertainment,Licensing,5,30.99,154.95
2025-01-14,Media & Entertainment,Subscriptions,5,45.55,227.75
2025-01-14,Knowledge & Utilities,Advertising,5,83.0,415.0
2025-01-14,Knowledge & Utilities,Staking,5,36.73,183.65
2025-01-14,Knowledge & Utilities,Licensing,5,32.41,162.05
2025-01-14,Knowledge & Utilities,Subscriptions,5,23.52,117.6
2025-01-14,Gaming,Advertising,5,31.23,156.15
2025-01-14,Gaming,Staking,5,71.65,358.25
2025-01-14,Gaming,Licensing,5,60.88,304.4
2025-01-14,Gaming,Subscriptions,5,98.74,493.7
2025-01-14,Education,Advertising,5,28.05,140.25
2025-01-14,Education,Staking,5,59.0,295.0
2025-01-14,Education,Licensing,5,60.41,302.05
2025-01-14,Education,Subscriptions,5,53.16,265.8
2025-01-14,Health & Wellness,Advertising,5,70.98,354.9
2025-01-14,Health & Wellness,Staking,5,25.02,125.1
2025-01-14,Health & Wellness,Licensing,5,20.4,102.0
2025-01-14,Health & Wellness,Subscriptions,5,35.0,175.0
2025-01-14,Finance & Business,Advertising,5,51.99,259.95
2025-01-14,Finance & Business,Staking,5,95.52,477.6
2025-01-14,Finance & Business,Licensing,5,92.13,460.65
2025-01-14,Finance & Business,Subscriptions,5,69.35,346.75
2025-01-14,Lifestyle,Advertising,5,95.59,477.95
2025-01-14,Lifestyle,Staking,5,69.81,349.05
2025-01-14,Lifestyle,Licensing,5,70.57,352.85
2025-01-14,Lifestyle,Subscriptions,5,85.07,425.35
2025-01-14,Technology,Advertising,5,79.14,395.7
2025-01-14,Technology,Staking,5,82.61,413.05
2025-01-14,Technology,Licensing,5,91.29,456.45
2025-01-14,Technology,Subscriptions,5,30.03,150.15
2025-01-14,Politics & News,Advertising,5,93.62,468.1
2025-01-14,Politics & News,Staking,5,86.86,434.3
2025-01-14,Politics & News,Licensing,5,31.2,156.0
2025-01-14,Politics & News,Subscriptions,5,24.98,124.9
2025-01-15,Publishing,Advertising,5,45.34,226.7
2025-01-15,Publishing,Staking,5,23.15,115.75
2025-01-15,Publishing,Licensing,5,78.2,391.0
2025-01-15,Publishing,Subscriptions,5,27.76,138.8
2025-01-15,Media & Entertainment,Advertising,5,48.53,242.65
2025-01-15,Media & Entertainment,Staking,5,29.94,149.7
2025-01-15,Media & Entertainment,Licensing,5,73.49,367.45
2025-01-15,Media & Entertainment,Subscriptions,5,29.46,147.3
2025-01-15,Knowledge & Utilities,Advertising,5,87.49,437.45
2025-01-15,Knowledge & Utilities,Staking,5,39.1,195.5
2025-01-15,Knowledge & Utilities,Licensing,5,98.43,492.15
2025-01-15,Knowledge & Utilities,Subscriptions,5,23.44,117.2
2025-01-15,Gaming,Advertising,5,28.99,144.95
2025-01-15,Gaming,Staking,5,51.84,259.2
2025-01-15,Gaming,Licensing,5,100.34,501.7
2025-01-15,Gaming,Subscriptions,5,23.99,119.95
2025-01-15,Education,Advertising,5,84.47,422.35
2025-01-15,Education,Staking,5,25.62,128.1
2025-01-15,Education,Licensing,5,61.81,309.05
2025-01-15,Education,Subscriptions,5,91.7,458.5
2025-01-15,Health & Wellness,Advertising,5,92.27,461.35
2025-01-15,Health & Wellness,Staking,5,80.48,402.4
2025-01-15,Health & Wellness,Licensing,5,85.13,425.65
2025-01-15,Health & Wellness,Subscriptions,5,35.38,176.9
2025-01-15,Finance & Business,Advertising,5,26.19,130.95
2025-01-15,Finance & Business,Staking,5,51.81,259.05
2025-01-15,Finance & Business,Licensing,5,24.55,122.75
2025-01-15,Finance & Business,Subscriptions,5,49.03,245.15
2025-01-15,Lifestyle,Advertising,5,64.92,324.6
2025-01-15,Lifestyle,Staking,5,75.14,375.7
2025-01-15,Lifestyle,Licensing,5,21.06,105.3
2025-01-15,Lifestyle,Subscriptions,5,59.58,297.9
2025-01-15,Technology,Advertising,5,66.95,334.75
2025-01-15,Technology,Staking,5,38.58,192.9
2025-01-15,Technology,Licensing,5,71.02,355.1
2025-01-15,Technology,Subscriptions,5,25.88,129.4
2025-01-15,Politics & News,Advertising,5,36.91,184.55
2025-01-15,Politics & News,Staking,5,56.58,282.9
2025-01-15,Politics & News,Licensing,5,38.4,192.0
2025-01-15,Politics & News,Subscriptions,5,80.12,400.6
2025-01-16,Publishing,Advertising,5,25.72,128.6
2025-01-16,Publishing,Staking,5,52.05,260.25
2025-01-16,Publishing,Licensing,5,24.06,120.3
2025-01-16,Publishing,Subscriptions,5,25.07,125.35
2025-01-16,Media & Entertainment,Advertising,5,26.34,131.7
2025-01-16,Media & Entertainment,Staking,5,59.41,297.05
2025-01-16,Media & Entertainment,Licensing,5,94.91,474.55
2025-01-16,Media & Entertainment,Subscriptions,5,49.79,248.95
2025-01-16,Knowledge & Utilities,Advertising,5,70.1,350.5
2025-01-16,Knowledge & Utilities,Staking,5,99.64,498.2
2025-01-16,Knowledge & Utilities,Licensing,5,31.13,155.65
2025-01-16,Knowledge & Utilities,Subscriptions,5,34.41,172.05
2025-01-16,Gaming,Advertising,5,74.99,374.95
2025-01-16,Gaming,Staking,5,58.38,291.9
2025-01-16,Gaming,Licensing,5,60.66,303.3
2025-01-16,Gaming,Subscriptions,5,27.66,138.3
2025-01-16,Education,Advertising,5,71.25,356.25
2025-01-16,Education,Staking,5,42.37,211.85
2025-01-16,Education,Licensing,5,23.46,117.3
2025-01-16,Education,Subscriptions,5,87.21,436.05
2025-01-16,Health & Wellness,Advertising,5,47.54,237.7
2025-01-16,Health & Wellness,Staking,5,101.35,506.75
2025-01-16,Health & Wellness,Licensing,5,46.41,232.05
2025-01-16,Health & Wellness,Subscriptions,5,42.26,211.3
2025-01-16,Finance & Business,Advertising,5,26.15,130.75
2025-01-16,Finance & Business,Staking,5,85.84,429.2
2025-01-16,Finance & Business,Licensing,5,78.25,391.25
2025-01-16,Finance & Business,Subscriptions,5,85.31,426.55
2025-01-16,Lifestyle,Advertising,5,32.74,163.7
2025-01-16,Lifestyle,Staking,5,45.24,226.2
2025-01-16,Lifestyle,Licensing,5,75.24,376.2
2025-01-16,Lifestyle,Subscriptions,5,21.53,107.65
2025-01-16,Technology,Advertising,5,39.15,195.75
2025-01-16,Technology,Staking,5,40.64,203.2
2025-01-16,Technology,Licensing,5,30.4,152.0
2025-01-16,Technology,Subscriptions,5,27.76,138.8
2025-01-16,Politics & News,Advertising,5,70.68,353.4
2025-01-16,Politics & News,Staking,5,27.31,136.55
2025-01-16,Politics & News,Licensing,5,77.87,389.35
2025-01-16,Politics & News,Subscriptions,5,22.95,114.75
2025-01-17,Publishing,Advertising,5,31.1,155.5
2025-01-17,Publishing,Staking,5,26.72,133.6
2025-01-17,Publishing,Licensing,5,101.99,509.95
2025-01-17,Publishing,Subscriptions,5,57.04,285.2
2025-01-17,Media & Entertainment,Advertising,5,62.65,313.25
2025-01-17,Media & Entertainment,Staking,5,60.65,303.25
2025-01-17,Media & Entertainment,Licensing,5,30.8,154.0
2025-01-17,Media & Entertainment,Subscriptions,5,28.08,140.4
2025-01-17,Knowledge & Utilities,Advertising,5,44.96,224.8
2025-01-17,Knowledge & Utilities,Staking,5,94.93,474.65
2025-01-17,Knowledge & Utilities,Licensing,5,71.8,359.0
2025-01-17,Knowledge & Utilities,Subscriptions,5,89.4,447.0
2025-01-17,Gaming,Advertising,5,81.53,407.65
2025-01-17,Gaming,Staking,5,100.15,500.75
2025-01-17,Gaming,Licensing,5,63.76,318.8
2025-01-17,Gaming,Subscriptions,5,69.51,347.55
2025-01-17,Education,Advertising,5,69.23,346.15
2025-01-17,Education,Staking,5,40.54,202.7
2025-01-17,Education,Licensing,5,21.27,106.35
2025-01-17,Education,Subscriptions,5,66.17,330.85
2025-01-17,Health & Wellness,Advertising,5,49.21,246.05
2025-01-17,Health & Wellness,Staking,5,51.09,255.45
2025-01-17,Health & Wellness,Licensing,5,88.84,444.2
2025-01-17,Health & Wellness,Subscriptions,5,46.25,231.25
2025-01-17,Finance & Business,Advertising,5,58.63,293.15
2025-01-17,Finance & Business,Staking,5,38.58,192.9
2025-01-17,Finance & Business,Licensing,5,79.14,395.7
2025-01-17,Finance & Business,Subscriptions,5,70.67,353.35
2025-01-17,Lifestyle,Advertising,5,66.23,331.15
2025-01-17,Lifestyle,Staking,5,83.05,415.25
2025-01-17,Lifestyle,Licensing,5,97.31,486.55
2025-01-17,Lifestyle,Subscriptions,5,32.47,162.35
2025-01-17,Technology,Advertising,5,24.77,123.85
2025-01-17,Technology,Staking,5,23.33,116.65
2025-01-17,Technology,Licensing,5,26.12,130.6
2025-01-17,Technology,Subscriptions,5,95.51,477.55
2025-01-17,Politics & News,Advertising,5,89.31,446.55
2025-01-17,Politics & News,Staking,5,58.43,292.15
2025-01-17,Politics & News,Licensing,5,95.82,479.1
2025-01-17,Politics & News,Subscriptions,5,85.16,425.8
2025-01-18,Publishing,Advertising,5,67.52,337.6
2025-01-18,Publishing,Staking,5,61.01,305.05
2025-01-18,Publishing,Licensing,5,38.03,190.15
2025-01-18,Publishing,Subscriptions,5,58.01,290.05
2025-01-18,Media & Entertainment,Advertising,5,75.31,376.55
2025-01-18,Media & Entertainment,Staking,5,46.7,233.5
2025-01-18,Media & Entertainment,Licensing,5,77.62,388.1
2025-01-18,Media & Entertainment,Subscriptions,5,40.73,203.65
2025-01-18,Knowledge & Utilities,Advertising,5,40.23,201.15
2025-01-18,Knowledge & Utilities,Staking,5,100.39,501.95
2025-01-18,Knowledge & Utilities,Licensing,5,21.03,105.15
2025-01-18,Knowledge & Utilities,Subscriptions,6,69.97,419.82
2025-01-18,Gaming,Advertising,5,46.87,234.35
2025-01-18,Gaming,Staking,6,21.82,130.92
2025-01-18,Gaming,Licensing,5,78.68,393.4
2025-01-18,Gaming,Subscriptions,5,86.54,432.7
2025-01-18,Education,Advertising,5,27.53,137.65
2025-01-18,Education,Staking,5,46.54,232.7
2025-01-18,Education,Licensing,5,97.31,486.55
2025-01-18,Education,Subscriptions,5,47.85,239.25
2025-01-18,Health & Wellness,Advertising,5,31.92,159.6
2025-01-18,Health & Wellness,Staking,5,25.18,125.9
2025-01-18,Health & Wellness,Licensing,6,77.47,464.82
2025-01-18,Health & Wellness,Subscriptions,5,95.38,476.9
2025-01-18,Finance & Business,Advertising,5,90.79,453.95
2025-01-18,Finance & Business,Staking,5,69.27,346.35
2025-01-18,Finance & Business,Licensing,6,85.33,511.98
2025-01-18,Finance & Business,Subscriptions,5,91.2,456.0
2025-01-18,Lifestyle,Advertising,5,37.42,187.1
2025-01-18,Lifestyle,Staking,5,98.26,491.3
2025-01-18,Lifestyle,Licensing,5,59.46,297.3
2025-01-18,Lifestyle,Subscriptions,5,73.66,368.3
2025-01-18,Technology,Advertising,5,65.49,327.45
2025-01-18,Technology,Staking,5,94.42,472.1
2025-01-18,Technology,Licensing,6,70.4,422.4
2025-01-18,Technology,Subscriptions,5,46.69,233.45
2025-01-18,Politics & News,Advertising,5,20.75,103.75
2025-01-18,Politics & News,Staking,5,93.84,469.2
2025-01-18,Politics & News,Licensing,5,56.41,282.05
2025-01-18,Politics & News,Subscriptions,5,102.49,512.45
2025-01-19,Publishing,Advertising,6,66.2,397.2
2025-01-19,Publishing,Staking,5,62.09,310.45
2025-01-19,Publishing,Licensing,5,39.18,195.9
2025-01-19,Publishing,Subscriptions,6,40.35,242.1
2025-01-19,Media & Entertainment,Advertising,5,93.45,467.25
2025-01-19,Media & Entertainment,Staking,6,42.47,254.82
2025-01-19,Media & Entertainment,Licensing,5,83.39,416.95
2025-01-19,Media & Entertainment,Subscriptions,6,29.73,178.38
2025-01-19,Knowledge & Utilities,Advertising,5,57.11,285.55
2025-01-19,Knowledge & Utilities,Staking,5,95.12,475.6
2025-01-19,Knowledge & Utilities,Licensing,6,85.68,514.08
2025-01-19,Knowledge & Utilities,Subscriptions,6,49.21,295.26
2025-01-19,Gaming,Advertising,5,33.53,167.65
2025-01-19,Gaming,Staking,6,48.24,289.44
2025-01-19,Gaming,Licensing,5,83.13,415.65
2025-01-19,Gaming,Subscriptions,6,84.04,504.24
2025-01-19,Education,Advertising,5,100.39,501.95
2025-01-19,Education,Staking,5,50.56,252.8
2025-01-19,Education,Licensing,6,28.19,169.14
2025-01-19,Education,Subscriptions,5,65.87,329.35
2025-01-19,Health & Wellness,Advertising,6,64.23,385.38
2025-01-19,Health & Wellness,Staking,5,93.12,465.6
2025-01-19,Health & Wellness,Licensing,5,79.06,395.3
2025-01-19,Health & Wellness,Subscriptions,5,56.97,284.85
2025-01-19,Finance & Business,Advertising,6,44.3,265.8
2025-01-19,Finance & Business,Staking,5,39.51,197.55
2025-01-19,Finance & Business,Licensing,6,84.2,505.2
2025-01-19,Finance & Business,Subscriptions,6,21.64,129.84
2025-01-19,Lifestyle,Advertising,5,23.1,115.5
2025-01-19,Lifestyle,Staking,6,46.15,276.9
2025-01-19,Lifestyle,Licensing,5,102.48,512.4
2025-01-19,Lifestyle,Subscriptions,5,23.96,119.8
2025-01-19,Technology,Advertising,6,55.56,333.36
2025-01-19,Technology,Staking,6,91.11,546.66
2025-01-19,Technology,Licensing,5,72.71,363.55
2025-01-19,Technology,Subscriptions,5,36.28,181.4
2025-01-19,Politics & News,Advertising,5,61.92,309.6
2025-01-19,Politics & News,Staking,5,51.83,259.15
2025-01-19,Politics & News,Licensing,5,60.96,304.8
2025-01-19,Politics & News,Subscriptions,6,37.99,227.94
2025-01-20,Publishing,Advertising,5,69.1,345.5
2025-01-20,Publishing,Staking,6,94.64,567.84
2025-01-20,Publishing,Licensing,6,101.89,611.34
2025-01-20,Publishing,Subscriptions,6,41.75,250.5
2025-01-20,Media & Entertainment,Advertising,5,23.94,119.7
2025-01-20,Media & Entertainment,Staking,6,70.06,420.36
2025-01-20,Media & Entertainment,Licensing,5,33.01,165.05
2025-01-20,Media & Entertainment,Subscriptions,5,103.09,515.45
2025-01-20,Knowledge & Utilities,Advertising,5,23.68,118.4
2025-01-20,Knowledge & Utilities,Staking,6,27.2,163.2
2025-01-20,Knowledge & Utilities,Licensing,6,68.39,410.34
2025-01-20,Knowledge & Utilities,Subscriptions,5,28.9,144.5
2025-01-20,Gaming,Advertising,5,58.32,291.6
2025-01-20,Gaming,Staking,5,81.12,405.6
2025-01-20,Gaming,Licensing,5,100.4,502.0
2025-01-20,Gaming,Subscriptions,5,61.99,309.95
2025-01-20,Education,Advertising,6,92.6,555.6
2025-01-20,Education,Staking,6,33.08,198.48
2025-01-20,Education,Licensing,6,80.7,484.2
2025-01-20,Education,Subscriptions,6,82.29,493.74
2025-01-20,Health & Wellness,Advertising,6,52.12,312.72
2025-01-20,Health & Wellness,Staking,6,79.26,475.56
2025-01-20,Health & Wellness,Licensing,5,80.6,403.0
2025-01-20,Health & Wellness,Subscriptions,5,48.45,242.25
2025-01-20,Finance & Business,Advertising,6,74.01,444.06
2025-01-20,Finance & Business,Staking,5,51.13,255.65
2025-01-20,Finance & Business,Licensing,5,64.1,320.5
2025-01-20,Finance & Business,Subscriptions,5,46.75,233.75
2025-01-20,Lifestyle,Advertising,5,94.12,470.6
2025-01-20,Lifestyle,Staking,6,77.99,467.94
2025-01-20,Lifestyle,Licensing,5,82.36,411.8
2025-01-20,Lifestyle,Subscriptions,5,68.21,341.05
2025-01-20,Technology,Advertising,6,57.63,345.78
2025-01-20,Technology,Staking,5,99.78,498.9
2025-01-20,Technology,Licensing,5,51.95,259.75
2025-01-20,Technology,Subscriptions,6,45.77,274.62
2025-01-20,Politics & News,Advertising,6,27.46,164.76
2025-01-20,Politics & News,Staking,6,103.13,618.78
2025-01-20,Politics & News,Licensing,5,73.25,366.25
2025-01-20,Politics & News,Subscriptions,5,50.74,253.7
2025-01-21,Publishing,Advertising,5,68.86,344.3
2025-01-21,Publishing,Staking,5,98.44,492.2
2025-01-21,Publishing,Licensing,6,23.97,143.82
2025-01-21,Publishing,Subscriptions,6,29.02,174.12
2025-01-21,Media & Entertainment,Advertising,6,77.37,464.22
2025-01-21,Media & Entertainment,Staking,5,55.1,275.5
2025-01-21,Media & Entertainment,Licensing,6,100.03,600.18
2025-01-21,Media & Entertainment,Subscriptions,6,72.43,434.58
2025-01-21,Knowledge & Utilities,Advertising,6,39.43,236.58
2025-01-21,Knowledge & Utilities,Staking,5,40.02,200.1
2025-01-21,Knowledge & Utilities,Licensing,5,61.79,308.95
2025-01-21,Knowledge & Utilities,Subscriptions,5,51.62,258.1
2025-01-21,Gaming,Advertising,5,33.0,165.0
2025-01-21,Gaming,Staking,6,70.25,421.5
2025-01-21,Gaming,Licensing,6,93.04,558.24
2025-01-21,Gaming,Subscriptions,6,56.81,340.86
2025-01-21,Education,Advertising,6,33.2,199.2
2025-01-21,Education,Staking,6,38.58,231.48
2025-01-21,Education,Licensing,6,27.19,163.14
2025-01-21,Education,Subscriptions,5,41.71,208.55
2025-01-21,Health & Wellness,Advertising,6,44.29,265.74
2025-01-21,Health & Wellness,Staking,6,63.26,379.56
2025-01-21,Health & Wellness,Licensing,5,35.64,178.2
2025-01-21,Health & Wellness,Subscriptions,6,80.06,480.36
2025-01-21,Finance & Business,Advertising,5,28.2,141.0
2025-01-21,Finance & Business,Staking,5,88.62,443.1
2025-01-21,Finance & Business,Licensing,6,52.86,317.16
2025-01-21,Finance & Business,Subscriptions,5,94.06,470.3
2025-01-21,Lifestyle,Advertising,6,78.47,470.82
2025-01-21,Lifestyle,Staking,6,100.24,601.44
2025-01-21,Lifestyle,Licensing,6,40.88,245.28
2025-01-21,Lifestyle,Subscriptions,6,26.8,160.8
2025-01-21,Technology,Advertising,6,23.61,141.66
2025-01-21,Technology,Staking,5,93.36,466.8
2025-01-21,Technology,Licensing,5,36.6,183.0
2025-01-21,Technology,Subscriptions,6,91.14,546.84
2025-01-21,Politics & News,Advertising,5,26.36,131.8
2025-01-21,Politics & News,Staking,5,27.94,139.7
2025-01-21,Politics & News,Licensing,6,44.51,267.06
2025-01-21,Politics & News,Subscriptions,5,59.29,296.45
2025-01-22,Publishing,Advertising,6,46.48,278.88
2025-01-22,Publishing,Staking,5,53.84,269.2
2025-01-22,Publishing,Licensing,6,68.81,412.86
2025-01-22,Publishing,Subscriptions,6,45.02,270.12
2025-01-22,Media & Entertainment,Advertising,6,36.0,216.0
2025-01-22,Media & Entertainment,Staking,6,48.12,288.72
2025-01-22,Media & Entertainment,Licensing,5,78.15,390.75
2025-01-22,Media & Entertainment,Subscriptions,6,94.36,566.16
2025-01-22,Knowledge & Utilities,Advertising,6,82.73,496.38
2025-01-22,Knowledge & Utilities,Staking,6,64.13,384.78
2025-01-22,Knowledge & Utilities,Licensing,5,69.71,348.55
2025-01-22,Knowledge & Utilities,Subscriptions,6,21.89,131.34
2025-01-22,Gaming,Advertising,6,69.39,416.34
2025-01-22,Gaming,Staking,5,82.16,410.8
2025-01-22,Gaming,Licensing,5,87.32,436.6
2025-01-22,Gaming,Subscriptions,5,62.64,313.2
2025-01-22,Education,Advertising,5,83.15,415.75
2025-01-22,Education,Staking,6,61.2,367.2
2025-01-22,Education,Licensing,6,56.46,338.76
2025-01-22,Education,Subscriptions,6,78.28,469.68
2025-01-22,Health & Wellness,Advertising,5,91.45,457.25
2025-01-22,Health & Wellness,Staking,6,39.15,234.9
2025-01-22,Health & Wellness,Licensing,6,70.35,422.1
2025-01-22,Health & Wellness,Subscriptions,6,30.22,181.32
2025-01-22,Finance & Business,Advertising,6,65.53,393.18
2025-01-22,Finance & Business,Staking,5,32.11,160.55
2025-01-22,Finance & Business,Licensing,5,26.28,131.4
2025-01-22,Finance & Business,Subscriptions,6,61.74,370.44
2025-01-22,Lifestyle,Advertising,6,23.88,143.28
2025-01-22,Lifestyle,Staking,5,69.6,348.0
2025-01-22,Lifestyle,Licensing,6,94.47,566.82
2025-01-22,Lifestyle,Subscriptions,6,47.19,283.14
2025-01-22,Technology,Advertising,6,40.62,243.72
2025-01-22,Technology,Staking,6,21.62,129.72
2025-01-22,Technology,Licensing,6,90.93,545.58
2025-01-22,Technology,Subscriptions,6,88.49,530.94
2025-01-22,Politics & News,Advertising,5,50.63,253.15
2025-01-22,Politics & News,Staking,6,66.98,401.88
2025-01-22,Politics & News,Licensing,6,75.93,455.58
2025-01-22,Politics & News,Subscriptions,6,26.64,159.84
2025-01-23,Publishing,Advertising,5,97.87,489.35
2025-01-23,Publishing,Staking,5,58.09,290.45
2025-01-23,Publishing,Licensing,7,79.38,555.66
2025-01-23,Publishing,Subscriptions,5,81.82,409.1
2025-01-23,Media & Entertainment,Advertising,6,21.7,130.2
2025-01-23,Media & Entertainment,Staking,6,102.47,614.82
2025-01-23,Media & Entertainment,Licensing,5,99.82,499.1
2025-01-23,Media & Entertainment,Subscriptions,6,80.98,485.88
2025-01-23,Knowledge & Utilities,Advertising,6,33.56,201.36
2025-01-23,Knowledge & Utilities,Staking,7,50.11,350.77
2025-01-23,Knowledge & Utilities,Licensing,6,51.05,306.3
2025-01-23,Knowledge & Utilities,Subscriptions,5,99.67,498.35
2025-01-23,Gaming,Advertising,5,75.13,375.65
2025-01-23,Gaming,Staking,5,21.33,106.65
2025-01-23,Gaming,Licensing,5,92.45,462.25
2025-01-23,Gaming,Subscriptions,6,33.62,201.72
2025-01-23,Education,Advertising,6,97.15,582.9
2025-01-23,Education,Staking,6,38.96,233.76
2025-01-23,Education,Licensing,6,45.86,275.16
2025-01-23,Education,Subscriptions,6,82.67,496.02
2025-01-23,Health & Wellness,Advertising,6,56.54,339.24
2025-01-23,Health & Wellness,Staking,5,68.95,344.75
2025-01-23,Health & Wellness,Licensing,6,94.43,566.58
2025-01-23,Health & Wellness,Subscriptions,5,39.82,199.1
2025-01-23,Finance & Business,Advertising,6,60.89,365.34
2025-01-23,Finance & Business,Staking,5,102.22,511.1
2025-01-23,Finance & Business,Licensing,6,62.55,375.3
2025-01-23,Finance & Business,Subscriptions,5,81.4,407.0
2025-01-23,Lifestyle,Advertising,6,34.16,204.96
2025-01-23,Lifestyle,Staking,7,79.2,554.4
2025-01-23,Lifestyle,Licensing,5,90.42,452.1
2025-01-23,Lifestyle,Subscriptions,7,23.02,161.14
2025-01-23,Technology,Advertising,5,24.75,123.75
2025-01-23,Technology,Staking,6,37.75,226.5
2025-01-23,Technology,Licensing,6,86.8,520.8
2025-01-23,Technology,Subscriptions,6,71.8,430.8
2025-01-23,Politics & News,Advertising,5,29.8,149.0
2025-01-23,Politics & News,Staking,7,75.52,528.64
2025-01-23,Politics & News,Licensing,7,68.05,476.35
2025-01-23,Politics & News,Subscriptions,5,72.69,363.45
2025-01-24,Publishing,Advertising,7,40.33,282.31
2025-01-24,Publishing,Staking,5,48.91,244.55
2025-01-24,Publishing,Licensing,6,76.4,458.4
2025-01-24,Publishing,Subscriptions,6,28.59,171.54
