Asset_ID;Category;Monetization;Start_Date;Rev_2025-01-12;Rev_2025-01-13;Rev_2025-01-14;Rev_2025-01-15;Rev_2025-01-16;Rev_2025-01-17;Rev_2025-01-18;Rev_2025-01-19;Rev_2025-01-20;Rev_2025-01-21;Rev_2025-01-22;Rev_2025-01-23;Rev_2025-01-24;Rev_2025-01-25;Rev_2025-01-26;Rev_2025-01-27;Rev_2025-01-28;Rev_2025-01-29;Rev_2025-01-30;Rev_2025-01-31;Rev_2025-02-01;Rev_2025-02-02;Rev_2025-02-03;Rev_2025-02-04;Rev_2025-02-05;Rev_2025-02-06;Rev_2025-02-07;Rev_2025-02-08;Rev_2025-02-09;Rev_2025-02-10;Rev_2025-02-11;Rev_2025-02-12;Rev_2025-02-13;Rev_2025-02-14;Rev_2025-02-15;Rev_2025-02-16;Rev_2025-02-17;Rev_2025-02-18;Rev_2025-02-19;Rev_2025-02-20;Rev_2025-02-21;Rev_2025-02-22;Rev_2025-02-23;Rev_2025-02-24;Rev_2025-02-25;Rev_2025-02-26;Rev_2025-02-27;Rev_2025-02-28;Rev_2025-03-01;Rev_2025-03-02;Rev_2025-03-03;Rev_2025-03-04;Rev_2025-03-05;Rev_2025-03-06;Rev_2025-03-07;Rev_2025-03-08;Rev_2025-03-09;Rev_2025-03-10;Rev_2025-03-11;Rev_2025-03-12;Rev_2025-03-13;Rev_2025-03-14;Rev_2025-03-15;Rev_2025-03-16;Rev_2025-03-17;Rev_2025-03-18;Rev_2025-03-19;Rev_2025-03-20;Rev_2025-03-21;Rev_2025-03-22;Rev_2025-03-23;Rev_2025-03-24;Rev_2025-03-25;Rev_2025-03-26;Rev_2025-03-27;Rev_2025-03-28;Rev_2025-03-29;Rev_2025-03-30;Rev_2025-03-31;Rev_2025-04-01;Rev_2025-04-02;Rev_2025-04-03;Rev_2025-04-04;Rev_2025-04-05;Rev_2025-04-06;Rev_2025-04-07;Rev_2025-04-08;Rev_2025-04-09;Rev_2025-04-10;Rev_2025-04-11
IP-0011;Media & Entertainment;Staking;17.01.25;0;0;0;0;0;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15
IP-0012;Finance & Business;Subscriptions;17.01.25;0;0;0;0;0;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13
IP-0012;Finance & Business;Licensing;17.01.25;0;0;0;0;0;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09;2,09
IP-0013;Gaming;Advertising;17.01.25;0;0;0;0;0;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33;4,33
IP-0013;Gaming;Subscriptions;17.01.25;0;0;0;0;0;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49
IP-0014;Gaming;Licensing;18.01.25;0;0;0;0;0;0;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9
IP-0014;Gaming;Subscriptions;18.01.25;0;0;0;0;0;0;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95;3,95
IP-0015;Technology;Licensing;18.01.25;0;0;0;0;0;0;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22;2,22
IP-0015;Technology;Advertising;18.01.25;0;0;0;0;0;0;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67;1,67
IP-0016;Gaming;Subscriptions;18.01.25;0;0;0;0;0;0;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86
IP-0017;Politics & News;Licensing;19.01.25;0;0;0;0;0;0;0;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23;1,23
IP-0018;Gaming;Licensing;19.01.25;0;0;0;0;0;0;0;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99;4,99
IP-0018;Gaming;Subscriptions;19.01.25;0;0;0;0;0;0;0;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24;4,24
IP-0019;Media & Entertainment;Advertising;19.01.25;0;0;0;0;0;0;0;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86;2,86
